time, ref, y_nom_1, y_nom_2,y_nom_3,y_nom_4,y_nom_5,y_nom_6, y_nom_7,y_nom_8,y_nom_9,y_nom_10,y_nom_11,y_nom_12,y_nn_1, y_nn_2,y_nn_3,y_nn_4,y_nn_5,y_nn_6,y_nn_7,y_nn_8,y_nn_9, y_nn_10,y_nn_11,y_nn_12,u_nn_1, u_nn_2, u_nn_3,u_nn_4,u_nom_1,u_nom_2,u_nom_3,u_nom_4
0.00000, 0.65909, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 20.32492,-0.00000, -0.00000, 0.00000, 20.38722, 0.00000,0.00000, 0.00000 
0.01000, 0.65909, 0.00000, 0.00000, 0.00023, 0.00000, 0.00000, -0.04657, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00024,0.00000, 0.00000, -0.04704, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 20.18287,-0.00000, -0.00000, 0.00000, 20.25221, 0.00000,0.00000, 0.00000 
0.02000, 0.65909, 0.00000, 0.00000, 0.00093, 0.00000, 0.00000, -0.09212, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00094,0.00000, 0.00000, -0.09311, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 20.03928,-0.00000, -0.00000, 0.00000, 20.11531, 0.00000,0.00000, 0.00000 
0.03000, 0.65909, 0.00000, 0.00000, 0.00207, 0.00000, 0.00000, -0.13664, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00210,0.00000, 0.00000, -0.13820, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 19.89427,-0.00000, -0.00000, 0.00000, 19.97667, 0.00000,0.00000, 0.00000 
0.04000, 0.65909, 0.00000, 0.00000, 0.00366, 0.00000, 0.00000, -0.18012, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00370,0.00000, 0.00000, -0.18229, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 19.74798,-0.00000, -0.00000, 0.00000, 19.83643, 0.00000,0.00000, 0.00000 
0.05000, 0.65909, 0.00000, 0.00000, 0.00567, 0.00000, 0.00000, -0.22255, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00574,0.00000, 0.00000, -0.22537, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 19.60054,-0.00000, -0.00000, 0.00000, 19.69474, 0.00000,0.00000, 0.00000 
0.06000, 0.65909, 0.00000, 0.00000, 0.00811, 0.00000, 0.00000, -0.26393, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00820,0.00000, 0.00000, -0.26744, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 19.45209,-0.00000, -0.00000, 0.00000, 19.55171, 0.00000,0.00000, 0.00000 
0.07000, 0.65909, 0.00000, 0.00000, 0.01095, 0.00000, 0.00000, -0.30424, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01108,0.00000, 0.00000, -0.30848, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 19.30274,-0.00000, -0.00000, 0.00000, 19.40748, 0.00000,0.00000, 0.00000 
0.08000, 1.06439, 0.00000, 0.00000, 0.01428, 0.00000, 0.00000, -0.36579, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01446,0.00000, 0.00000, -0.37064, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 23.13767,-0.00000, -0.00000, 0.00000, 23.22051, 0.00000,0.00000, 0.00000 
0.09000, 1.06439, 0.00000, 0.00000, 0.01827, 0.00000, 0.00000, -0.43211, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01851,0.00000, 0.00000, -0.43758, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 22.89881,-0.00000, -0.00000, 0.00000, 22.98988, 0.00000,0.00000, 0.00000 
