time, ref, y_nom_1, y_nom_2,y_nom_3,y_nom_4,y_nom_5,y_nom_6, y_nom_7,y_nom_8,y_nom_9,y_nom_10,y_nom_11,y_nom_12,y_nn_1, y_nn_2,y_nn_3,y_nn_4,y_nn_5,y_nn_6,y_nn_7,y_nn_8,y_nn_9, y_nn_10,y_nn_11,y_nn_12,u_nn_1, u_nn_2, u_nn_3,u_nn_4,u_nom_1,u_nom_2,u_nom_3,u_nom_4
0.00000, 1.72528, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 30.98680,-0.00000, -0.00000, 0.00000, 30.89391, 0.00000,0.00000, 0.00000 
0.01000, 1.72528, 0.00000, 0.00000, 0.00061, 0.00000, 0.00000, -0.12191, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00061,0.00000, 0.00000, -0.12137, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 30.61496,-0.00000, -0.00000, 0.00000, 30.55665, 0.00000,0.00000, 0.00000 
0.02000, 1.72528, 0.00000, 0.00000, 0.00243, 0.00000, 0.00000, -0.24115, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00242,0.00000, 0.00000, -0.24030, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 30.23907,-0.00000, -0.00000, 0.00000, 30.20852, 0.00000,0.00000, 0.00000 
0.03000, 1.72528, 0.00000, 0.00000, 0.00543, 0.00000, 0.00000, -0.35769, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00541,0.00000, 0.00000, -0.35670, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 29.85948,-0.00000, -0.00000, 0.00000, 29.85107, 0.00000,0.00000, 0.00000 
0.04000, 2.55719, 0.00000, 0.00000, 0.00977, 0.00000, 0.00000, -0.51730, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00974,0.00000, 0.00000, -0.51480, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 37.65625,-0.00000, -0.00000, 0.00000, 37.41560, 0.00000,0.00000, 0.00000 
0.05000, 2.55719, 0.00000, 0.00000, 0.01579, 0.00000, 0.00000, -0.68615, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01572,0.00000, 0.00000, -0.68218, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 37.08949,-0.00000, -0.00000, 0.00000, 36.91534, 0.00000,0.00000, 0.00000 
0.06000, 2.55719, 0.00000, 0.00000, 0.02348, 0.00000, 0.00000, -0.85093, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.02337,0.00000, 0.00000, -0.84591, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 36.51824,-0.00000, -0.00000, 0.00000, 36.39278, 0.00000,0.00000, 0.00000 
0.07000, 2.55719, 0.00000, 0.00000, 0.03280, 0.00000, 0.00000, -1.01163, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.03263,0.00000, 0.00000, -1.00583, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 35.94300,-0.00000, -0.00000, 0.00000, 35.85170, 0.00000,0.00000, 0.00000 
0.08000, 2.55719, 0.00000, 0.00000, 0.04370, 0.00000, 0.00000, -1.16820, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.04347,0.00000, 0.00000, -1.16184, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 35.36426,-0.00000, -0.00000, 0.00000, 35.29561, 0.00000,0.00000, 0.00000 
0.09000, 2.55719, 0.00000, 0.00000, 0.05615, 0.00000, 0.00000, -1.32062, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.05585,0.00000, 0.00000, -1.31383, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 34.78251,-0.00000, -0.00000, 0.00000, 34.72763, 0.00000,0.00000, 0.00000 
