time, ref, y_nom_1, y_nom_2,y_nom_3,y_nom_4,y_nom_5,y_nom_6, y_nom_7,y_nom_8,y_nom_9,y_nom_10,y_nom_11,y_nom_12,y_nn_1, y_nn_2,y_nn_3,y_nn_4,y_nn_5,y_nn_6,y_nn_7,y_nn_8,y_nn_9, y_nn_10,y_nn_11,y_nn_12,u_nn_1, u_nn_2, u_nn_3,u_nn_4,u_nom_1,u_nom_2,u_nom_3,u_nom_4
0.00000, 0.55598, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 19.29385,-0.00000, -0.00000, 0.00000, 19.36377, 0.00000,0.00000, 0.00000 
0.01000, 0.55598, 0.00000, 0.00000, 0.00020, 0.00000, 0.00000, -0.03929, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00020,0.00000, 0.00000, -0.03980, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 19.17402,-0.00000, -0.00000, 0.00000, 19.24923, 0.00000,0.00000, 0.00000 
0.02000, 0.55598, 0.00000, 0.00000, 0.00078, 0.00000, 0.00000, -0.07771, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00079,0.00000, 0.00000, -0.07879, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 19.05288,-0.00000, -0.00000, 0.00000, 19.13317, 0.00000,0.00000, 0.00000 
0.03000, 0.55598, 0.00000, 0.00000, 0.00175, 0.00000, 0.00000, -0.11527, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00177,0.00000, 0.00000, -0.11693, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 18.93056,-0.00000, -0.00000, 0.00000, 19.01571, 0.00000,0.00000, 0.00000 
0.04000, 0.55598, 0.00000, 0.00000, 0.00309, 0.00000, 0.00000, -0.15195, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00313,0.00000, 0.00000, -0.15424, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 18.80716,-0.00000, -0.00000, 0.00000, 18.89695, 0.00000,0.00000, 0.00000 
0.05000, 0.55598, 0.00000, 0.00000, 0.00478, 0.00000, 0.00000, -0.18774, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00485,0.00000, 0.00000, -0.19069, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 18.68279,-0.00000, -0.00000, 0.00000, 18.77701, 0.00000,0.00000, 0.00000 
0.06000, 0.55598, 0.00000, 0.00000, 0.00684, 0.00000, 0.00000, -0.22264, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00694,0.00000, 0.00000, -0.22628, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 18.55756,-0.00000, -0.00000, 0.00000, 18.65598, 0.00000,0.00000, 0.00000 
0.07000, 0.55598, 0.00000, 0.00000, 0.00923, 0.00000, 0.00000, -0.25664, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00938,0.00000, 0.00000, -0.26100, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 18.43157,-0.00000, -0.00000, 0.00000, 18.53398, 0.00000,0.00000, 0.00000 
0.08000, 0.55598, 0.00000, 0.00000, 0.01197, 0.00000, 0.00000, -0.28975, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01216,0.00000, 0.00000, -0.29484, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 18.30494,-0.00000, -0.00000, 0.00000, 18.41109, 0.00000,0.00000, 0.00000 
0.09000, 0.55598, 0.00000, 0.00000, 0.01503, 0.00000, 0.00000, -0.32194, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01527,0.00000, 0.00000, -0.32781, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 18.17776,-0.00000, -0.00000, 0.00000, 18.28743, 0.00000,0.00000, 0.00000 
0.10000, 0.55598, 0.00000, 0.00000, 0.01840, 0.00000, 0.00000, -0.35323, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01871,0.00000, 0.00000, -0.35989, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 18.05014,-0.00000, -0.00000, 0.00000, 18.16307, 0.00000,0.00000, 0.00000 
0.11000, 0.55598, 0.00000, 0.00000, 0.02209, 0.00000, 0.00000, -0.38360, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.02247,0.00000, 0.00000, -0.39108, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 17.92217,-0.00000, -0.00000, 0.00000, 18.03813, 0.00000,0.00000, 0.00000 
0.12000, 0.55598, 0.00000, 0.00000, 0.02607, 0.00000, 0.00000, -0.41306, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.02653,0.00000, 0.00000, -0.42138, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 17.79395,-0.00000, -0.00000, 0.00000, 17.91268, 0.00000,0.00000, 0.00000 
0.13000, 0.55598, 0.00000, 0.00000, 0.03035, 0.00000, 0.00000, -0.44160, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.03089,0.00000, 0.00000, -0.45078, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 17.66559,-0.00000, -0.00000, 0.00000, 17.78682, 0.00000,0.00000, 0.00000 
0.14000, 0.55598, 0.00000, 0.00000, 0.03490, 0.00000, 0.00000, -0.46922, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.03554,0.00000, 0.00000, -0.47927, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 17.53717,-0.00000, -0.00000, 0.00000, 17.66064, 0.00000,0.00000, 0.00000 
0.15000, 0.55598, 0.00000, 0.00000, 0.03973, 0.00000, 0.00000, -0.49593, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.04047,0.00000, 0.00000, -0.50687, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 17.40878,-0.00000, -0.00000, 0.00000, 17.53422, 0.00000,0.00000, 0.00000 
0.16000, 0.55598, 0.00000, 0.00000, 0.04482, 0.00000, 0.00000, -0.52172, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.04568,0.00000, 0.00000, -0.53356, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 17.28052,-0.00000, -0.00000, 0.00000, 17.40766, 0.00000,0.00000, 0.00000 
0.17000, 0.55598, 0.00000, 0.00000, 0.05016, 0.00000, 0.00000, -0.54660, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.05114,0.00000, 0.00000, -0.55935, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 17.15247,-0.00000, -0.00000, 0.00000, 17.28103, 0.00000,0.00000, 0.00000 
0.18000, 0.55598, 0.00000, 0.00000, 0.05575, 0.00000, 0.00000, -0.57056, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.05686,0.00000, 0.00000, -0.58423, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 17.02473,-0.00000, -0.00000, 0.00000, 17.15442, 0.00000,0.00000, 0.00000 
0.19000, 0.55598, 0.00000, 0.00000, 0.06157, 0.00000, 0.00000, -0.59361, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.06282,0.00000, 0.00000, -0.60821, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 16.89736,-0.00000, -0.00000, 0.00000, 17.02791, 0.00000,0.00000, 0.00000 
0.20000, 0.55598, 0.00000, 0.00000, 0.06761, 0.00000, 0.00000, -0.61575, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.06902,0.00000, 0.00000, -0.63129, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 16.77046,-0.00000, -0.00000, 0.00000, 16.90158, 0.00000,0.00000, 0.00000 
0.21000, 0.55598, 0.00000, 0.00000, 0.07388, 0.00000, 0.00000, -0.63699, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.07545,0.00000, 0.00000, -0.65347, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 16.64410,-0.00000, -0.00000, 0.00000, 16.77551, 0.00000,0.00000, 0.00000 
