No, time, ref, y_nom, y_nn, u_nom, u_nn
1, 0.00000, 0.25000, 55.73687, 55.77091, 0.00000, 0.00000 
2, 0.02000, 0.25000, -35.34536, -35.33224, 0.01100, 0.01101 
3, 0.04000, 0.25000, 34.29160, 34.43512, 0.02540, 0.02481 
4, 0.06000, 0.25000, -20.49679, -20.36571, 0.03902, 0.03744 
5, 0.08000, 0.25000, 21.15686, 21.41679, 0.05458, 0.05150 
6, 0.10000, 0.25000, -11.82047, -11.55386, 0.06951, 0.06454 
7, 0.12000, 0.25000, 13.08011, 13.46302, 0.08536, 0.07811 
8, 0.14000, 0.25000, -6.77749, -6.37388, 0.10054, 0.09073 
9, 0.16000, 0.25000, 8.10457, 8.60277, 0.11594, 0.10329 
10, 0.18000, 0.25000, -3.85128, -3.32711, 0.13056, 0.11493 
11, 0.20000, 0.25000, 5.04862, 5.64217, 0.14491, 0.12616 
12, 0.22000, 0.25000, -2.14037, -1.52451, 0.15838, 0.13648 
13, 0.24000, 0.25000, 3.19437, 3.85432, 0.17127, 0.14622 
14, 0.26000, 0.25000, -1.11328, -0.44120, 0.18320, 0.15507 
15, 0.28000, 0.25000, 2.10161, 2.79403, 0.19434, 0.16326 
16, 0.30000, 0.25000, -0.46070, 0.23017, 0.20449, 0.17062 
17, 0.32000, 0.25000, 1.49674, 2.18670, 0.21377, 0.17731 
18, 0.34000, 0.25000, -0.00636, 0.66747, 0.22205, 0.18325 
19, 0.36000, 0.25000, 1.20662, 1.86139, 0.22944, 0.18855 
20, 0.38000, 0.25000, 0.34692, 0.97200, 0.23589, 0.19318 
21, 0.40000, 0.25000, 1.11927, 1.71066, 0.24146, 0.19725 
22, 0.42000, 0.25000, 0.64982, 1.20025, 0.24617, 0.20075 
23, 0.44000, 0.25000, 1.16043, 1.66625, 0.25009, 0.20375 
24, 0.46000, 0.25000, 0.92626, 1.38284, 0.25324, 0.20628 
25, 0.48000, 0.25000, 1.27967, 1.68442, 0.25569, 0.20840 
26, 0.50000, 0.25000, 1.18530, 1.53579, 0.25749, 0.21015 
27, 0.52000, 0.25000, 1.44204, 1.73703, 0.25870, 0.21157 
28, 0.54000, 0.25000, 1.42831, 1.66718, 0.25937, 0.21269 
29, 0.56000, 0.25000, 1.62307, 1.80599, 0.25958, 0.21356 
30, 0.58000, 0.25000, 1.65314, 1.78098, 0.25937, 0.21422 
31, 0.60000, 0.25000, 1.80567, 1.87984, 0.25881, 0.21469 
32, 0.62000, 0.25000, 1.85662, 1.87919, 0.25794, 0.21500 
33, 0.64000, 0.25000, 1.97817, 1.95155, 0.25682, 0.21520 
34, 0.66000, 0.25000, 2.03586, 1.96300, 0.25551, 0.21529 
35, 0.68000, 0.25000, 2.13297, 2.01705, 0.25404, 0.21530 
36, 0.70000, 0.25000, 2.18888, 2.03342, 0.25246, 0.21526 
37, 0.72000, 0.25000, 2.26563, 2.07427, 0.25082, 0.21518 
38, 0.74000, 0.25000, 2.31492, 2.09151, 0.24913, 0.21507 
39, 0.76000, 0.25000, 2.37410, 2.12250, 0.24745, 0.21495 
40, 0.78000, 0.25000, 2.41435, 2.13846, 0.24579, 0.21483 
41, 0.80000, 0.25000, 2.45823, 2.16187, 0.24417, 0.21472 
42, 0.82000, 0.25000, 2.48860, 2.17556, 0.24263, 0.21463 
43, 0.84000, 0.25000, 2.51919, 2.19308, 0.24118, 0.21455 
44, 0.86000, 0.25000, 2.53990, 2.20420, 0.23983, 0.21451 
45, 0.88000, 0.25000, 2.55915, 2.21711, 0.23860, 0.21450 
46, 0.90000, 0.25000, 2.57105, 2.22574, 0.23748, 0.21452 
47, 0.92000, 0.25000, 2.58085, 2.23507, 0.23649, 0.21457 
48, 0.94000, 0.25000, 2.58520, 2.24152, 0.23563, 0.21466 
49, 0.96000, 0.25000, 2.58741, 2.24811, 0.23491, 0.21479 
50, 0.98000, 0.25000, 2.58562, 2.25274, 0.23431, 0.21495 
51, 1.00000, 0.25000, 2.58199, 2.25729, 0.23384, 0.21514 
